iso_code,country_name,continent,region
US,United States,North America,Northern America
GB,United Kingdom,Europe,Northern Europe
DE,Germany,Europe,Western Europe
FR,France,Europe,Western Europe
IN,India,Asia,Southern Asia
CN,China,Asia,Eastern Asia
JP,Japan,Asia,Eastern Asia
BR,Brazil,South America,South America
MX,Mexico,North America,Central America
ZA,South Africa,Africa,Southern Africa
NG,Nigeria,Africa,Western Africa
KE,Kenya,Africa,Eastern Africa
AU,Australia,Oceania,Australia and New Zealand
PK,Pakistan,Asia,Southern Asia
ID,Indonesia,Asia,South-Eastern Asia
